ORGANISM HABITAT	Number of occurrances	Classification
Soil|Host|Nematode symbiont|Nematode gut	2	a
Host|Plant	2	a
Aquatic|Wastewater treatment plant	2	a
Human intestinal microflora|Host|Gut|Human vaginal microflora	2	a
Sediment|Aquatic|Soil|Host|Fresh water	2	a
Host|Gut	2	a
Host|Sludge|Wastewater treatment plant|Wastewater	2	a
Sediment|Mud|Aquatic	2	a
Mud|Aquatic|Lentic sediment|Fresh water|Ponds	2	a
Soil|Host|Human blood|Human|Skin|Blood	2	a
Sediment|Sludge	2	a
Root nodule|Host|Plant root|Rhizosphere	2	a
Air|Host	2	a
Marine|Soil|Fresh water	2	a
Human intestinal microflora|Soil|Host|Wastewater	2	a
Human intestinal microflora|Soil|Host	2	a
Host|Human skin|Human airways|Skin	2	a
Soil|Host|Plant root	2	a
Human intestinal microflora|Host|Human vaginal microflora|Human oral cavity	2	a
Root nodule|Soil|Host|Rhizosphere	2	a
Aquatic|Mat	2	a
Mud|Soil|Sea water|Fresh water	2	a
Human intestinal microflora|Host|Gastrointestinal tract|Human oral cavity|Feces	2	a
Soil|Terrestrial|Rhizosphere	2	a
Marine|Root nodule|Aquatic|Soil|Host|Plant root	2	a
Aquatic|Fresh water|Saline water	2	a
Marine|Aquatic|Mat	2	a
Plants|Plant root	2	a
Plant surface|Host	2	a
Air|Host|Gastrointestinal tract|Human oral cavity	2	a
Hydrothermal vent|Deep sea	2	a
Dairy isolates|Cheese	2	a
Marine|Wastewater|Biofilm	2	a
Aquatic|Surface water|Sea water|Oil polluted marine water	2	a
Soil|Wastewater	2	a
Host|Turkey	2	a
Marine|Soil|Host|Rice roots	2	a
Plants|Soil|Fresh water	2	a
Epilithon	2	a
Intestinal tract|Oral cavity|Skin	2	a
Meat food product|Fermented food product	2	a
Lake|Fresh water	2	a
Bovine rumen	2	a
Intestinal tract|Human	2	a
Aquatic|Sea water	2	a
Compost|Sludge	2	a
Marine|Sediment|Aquatic|Marine sediment	2	a
Aquatic|Lake	2	a
Aquatic|Surface water	2	a
Sediment|Aquatic|Soda lakes	2	a
Food|Meat food product	2	a
Milk|Host	2	a
Rumen|Cattle|Host|Bovine	2	a
Aquatic|Host|Olive oil wastewater|Human	2	a
Marine|Sediment|Hypersaline sediment	2	a
Sediment|Salt mine	2	a
Aquatic|Host|Insect	2	a
Permafrost sediment	2	a
Plants|Aquatic	2	a
Acid mine	2	a
Marine|Mud|Aquatic|Wastewater treatment plant	2	a
Commercial culture	2	a
Soil|Host|Gastrointestinal tract|Feces|Ponds	2	a
Lung	2	a
Soil|Vegetables|Fresh water|Rhizosphere	2	a
Insect endosymbiont|Mammalian gastrointestinal tract|Colon|Skin	2	a
Host|Terrestrial	2	a
Urogenital tract	2	a
Mud|Aquatic|Soil|Fresh water	2	a
Soil|Food|Fresh water|Saline water	2	a
Host|Wastewater treatment plant	2	a
Air|Host|Human blood	2	a
Aquatic|Deep sea|Arctic	2	a
Rhizosphere-colonizing	2	a
Marine plankton	2	a
Rat gastrointestinal tract	2	a
Air|Aquatic	2	a
Air|Hot spring|Aquatic	2	a
Sewage plant|Wastewater treatment plant|Sewage|Wastewater	2	a
Cabbage|Fermented food product	2	a
Host|Pig waste|Maize	2	a
Cocoa bean|Fermented food product	2	a
Blood	2	a
Gastrointestinal tract|Human feces|Feces	2	a
Marine water|Marine plankton	2	a
Tomato	2	a
Bird	2	a
Human gastrointestinal tract	2	a
Cattle	2	a
Activated sludge|Wastewater treatment plant	2	a
Soil|Farm	2	a
Hare|Pig	2	a
Insect	2	a
Marine|Algae	2	a
Sulfur spring	2	a
Host|Human feces	2	a
Cattle|Milk|Gastrointestinal tract|Human	2	a
Aquatic|Fresh water|Saline lake	2	a
Hypersaline soil|Soil	2	a
Aquatic|Soda lake|Fresh water	2	a
Amoeba	2	a
Sediment|Soil|Freshwater sediment	2	a
Geothermal soil	2	a
Grass silage	2	a
Wheat	2	a
Fermented food product|Wine	2	a
Human vaginal microflora	2	a
Grape	2	a
Plant symbiont	2	a
Tomato plant	2	a
Mud flat sediment	2	a
Honey bee	2	a
Aquifer|Groundwater|Alkaline water	2	a
River	2	a
Trout	2	a
Mouse feces	2	a
Soil|Host|Fresh water|Sludge|Wastewater|Oil fields	1	a
Marine|Sediment|Sand|Fresh water	1	a
Mud|Aquatic|Fresh water|Oil fields	1	a
Soil|Host|Terrestrial|Rhizosphere-colonizing	1	a
Host|Wastewater|Blood	1	a
Marine|Aquatic|Hydrothermal vent|Deep sea	1	a
Marine|Hydrothermal vent|Deep sea	1	a
Soil|Host|Terrestrial|Sludge	1	a
Birds intestinal microflora|Human intestinal microflora|Host|Gastrointestinal tract|Human gastrointestinal tract|Mammalian gastrointestinal tract|Feces	1	a
Soil|Creek	1	a
Host|Macrophage	1	a
Sediment|Aquatic|Hydrothermal vent|Fresh water|Acid mine drainage	1	a
Sediment|Aquatic|Soil|Host|Fresh water|Ponds|Blood	1	a
Marine|Sand	1	a
Marine|Aquatic|Host|Fresh water|Ponds	1	a
Sediment|Aquatic|Soil	1	a
Aquatic|Host|Fresh water|Sludge	1	a
Pig feces|Host|Gastrointestinal tract	1	a
Marine|Host|Endosymbiont|Hydrothermal vent	1	a
Marine|Mud|Fresh water	1	a
Host|Food|Fresh water|Wastewater	1	a
Obligate endophyte|Soil|Host	1	a
Host|Lymph nodes	1	a
Soil|Fresh water|Sludge|Wastewater	1	a
Host|Food|Beef food product|Meat food product	1	a
Marine|Aquatic|Soil|Fresh water	1	a
Fresh water|Ponds	1	a
Fresh water|Biofilm	1	a
Fresh water|Wastewater	1	a
Soil|Terrestrial|Fresh water	1	a
Solar saltern|Fresh water	1	a
Host|Rice	1	a
Intestinal tract|Oral cavity|Fresh meat|Vagina	1	a
Marine|Mud|Fresh water|Sludge	1	a
Sediment|Aquatic|Fresh water|Groundwater	1	a
Host|Self-heated organic materials	1	a
Soil|Fish|Fresh water	1	a
Host|Human airways|Fresh water	1	a
Host|Endosymbiont|Nematode endosymbiont	1	a
Intestinal tract|Host|Oral cavity|Vagina	1	a
Plants|Beer|Wine|Fruits	1	a
Soil|Host|Food|Gastrointestinal tract|Fresh water|Feces	1	a
Marine|Marine sediment|Deep sea	1	a
Sediment|Soil|Host|Terrestrial	1	a
Soil|Host|Human skin|Food|Fresh water|Sludge	1	a
Host|Gut of the body louse	1	a
Hydrothermal vent|Fresh water	1	a
Dairy isolates|Soil|Host	1	a
Soil|Host|Endophyte|Fresh water	1	a
Root nodule|Soil|Host|Plant root|Plant|Rhizosphere	1	a
Marine|Mud|Aquatic|Soil	1	a
Host|Animal|Human	1	a
Marine|Aquatic|Soil|Fresh water|Ponds	1	a
Intestinal tract|Host|Fresh water|Wastewater	1	a
Host|Pharyngeal mucosa	1	a
Animal feces|Host|Gastrointestinal tract|Feces|Human|Wastewater	1	a
Human stomach|Host|Human	1	a
Soil|Fresh water|Acid mine drainage	1	a
Soil|Sludge	1	a
Human intestinal microflora|Host|Gastrointestinal tract|Human fecal|Sludge|Feces|Wastewater	1	a
Human intestinal microflora|Host|Human fecal|Groundwater	1	a
Human intestinal microflora|Host|Human oral cavity|Human mucocutaneous surfaces	1	a
Gingival crevices|Host|Human abscess|Urogenital tract	1	a
Human child|Host|Human abscess|Human	1	a
Soil|Endophyte	1	a
Soil|Human skin|Food	1	a
Soil|Host|Blood	1	a
Marine|Soil|Host|Rhizosphere	1	a
Fresh water|Sludge	1	a
Host|Gastrointestinal tract|Sludge	1	a
Host|Animal|Gastrointestinal tract|Sea water|Human gastrointestinal tract|Feces	1	a
Host|Insect|Termite gut|Gut|Termite	1	a
Marine|Coastal sea water|Antarctic water|Antarctic	1	a
Host|Human nasopharyngeal microflora|Human	1	a
Intestinal tract|Host|Gastrointestinal tract|Feces|Human	1	a
Marine|Salt marsh	1	a
Host|Bird|Human	1	a
Gold mine wastewater	1	a
Host|Human upper respiratory tract	1	a
Mosquito|Soil|Host	1	a
Marine|Aquatic|Host|Fresh water|Deep sea	1	a
Monocytes|Host|Macrophage	1	a
Host|Hind-gut of cockroaches	1	a
Human intestinal microflora|Host|Human	1	a
Intestinal tract|Soil|Host|Gastrointestinal tract|Feces	1	a
Sediment|Permafrost sediment	1	a
Mud|Aquatic|Soil|Host|Fresh water	1	a
Hot spring|Aquatic|Soil|Fresh water	1	a
Marine|Salt marsh|Fresh water	1	a
Intestinal tract|Fish food product|Soil|Host|Food|Fresh water	1	a
Intestinal tract|Aquatic|Soil|Host|Food|Fresh water	1	a
Soil|Host|Gastrointestinal tract|Fresh water	1	a
Host|Fish|Sea water	1	a
Host|Hydrothermal vent|Fresh water	1	a
Marine|Aquatic|Soil|Surface water|Fresh water	1	a
Soil|Fruits	1	a
Soil|Surface of desert rocks|Fresh water	1	a
Host|Endosymbiont|Fresh water	1	a
Rumen|Host|Fresh water	1	a
Soil|Salt marsh|Fresh water	1	a
Sediment|Aquatic|Soil|Host	1	a
Marine|Hot spring|Aquatic|Hydrothermal vent|Fresh water|Deep sea	1	a
